Date,Text,Label
7/20/2019,Bagaimana ini gk ada pemberitahuan kpn selesainya maintenace kita mau tarik dana gk bsa sama sekali tolanglah ksih keputusan yg jelas,-1
7/20/2019,HOREEE. awal saldo nol. Setelah cek 175jt. gue tarik semua. lumayan...,0
7/20/2019,Bankerot nih namanya,-1
7/20/2019,Alhandulillah . . . .Rek Mandiri saya amaannn . . . . masih seperti yg kemarin2ðŸ˜Ž,1
7/20/2019,"mohon infonya kapan mandiri bisa normal lagi urusan saya jadi banyak terkendala atas kejadian ini,mau cek saldo sampai tarik tunai tidak bisa. tolong di perbaiki dan di infokan segera. terimakasih.",0
7/20/2019,"saldo saya bertambah Rp. 21.500.000 gimana nih, saya gak mau.!!! mohon segera diperbaiki,soalnya saldo saya cuma Rp.301.000 tapi halal..ðŸ˜Š",-1
7/20/2019,Cek saldo mandiri kok gak bisa-bisa mulu. Baru inget kalau enggak punya rekening di bank mandiri ðŸ˜Š,0
7/20/2019,ðŸ˜Œ15 juta hilang uang nikah q parah bgt tolong dong segera di perbaikin,-1
7/20/2019,Ane gan. Saldo ilang abis smua. Hadeuhhhh. Mohon pencerahan. Terima kasih,-1
7/20/2019,sabtu adalah saatnya bagi kami menggaji karyawan..sementara dana ada di rek mandiri...kalau sampai sore ga bisa tarik dana siapa yg tanggung jawab ?? bagaimana nasib gaji karyawan kami yg seharusnya mereka terima setiap hari sabtu? mikir keras!!!,-1
7/20/2019,"Bank BUMN yg selalu gagal sistem,,harusnya malu,,masa kalah sama bank swasta..",-1
7/20/2019,bila bank Mandiri tidak mampu normalisasi saldo masyaralat nasabah berhak nuntut.,-1
7/20/2019,yg saldonya kosong berdoa saldonya nambahðŸ˜€,0
7/20/2019,belum chek saldoku mudahN bertambahðŸ˜ðŸ˜ðŸ˜,0
7/20/2019,"waduh gimana ini saya belum check rek mandiri saya, buahayuaya wuinih ...... hmm",-1
7/20/2019,saya mau cek saldo tp gak bisa. karena saya gak ada rekening mandiri. adanya rekening bca.. ðŸ˜,0
7/20/2019,semoga punya saya nambah....ðŸ˜‰ðŸ˜‰,0
7/20/2019,sy juga mengalami saldo sy berkurang.. mudah cpat terselesaikan,-1
7/20/2019,"@bankmandiri gmna ini saldo saya tiba2 hilang 7jta,,mohon penjelasannya ???",-1
7/20/2019,syukur lagi 0 moga di topup rek mandirikuh ðŸ˜†ðŸ˜ boleh di aamiini yaaa aamiin,0
7/20/2019,"â£SDM security IT bidang keuangan, server arsip penting dan data2 penting yg melangkah ke system online benar2 harus orang terpilih utk bs menangkal hackers\/penyusup. Data manual sebagai backup tetap harus ada secanggih apapun struktur software dirancang.",0
7/20/2019,"kenaren malam cek saldo masih 1jta tadi pgi mau transaksi coba cek saldo dlu kok saldo nya berkurang tinggal 300rb padahal blm ngambil, gmna ini mandiri tolong cepat d perbaiki butuh uang nya buat byar tagihan2ðŸ˜­ðŸ˜­ðŸ˜­",-1
7/20/2019,mohon advise nya. saya butuh untuk bayar lahiran lagi force mayor ini,0
7/20/2019,Saldo sya jg berkurang 200rb. Padahal dah sisain 650rb bwt bayar skolah anak hari ini. Tp malah brkurang 200rb. Jd tinggal 450rb.. mandiri gimana ini,-1
7/20/2019,saldoku berkurang hampir 40jt tolong bank mandiri bantu penjelasan saya hub call center susah.....,-1
7/20/2019,Mandiri online langsung ga bisa di akses ðŸ˜”,-1
7/20/2019,mandiri online gak bs diakses,-1
7/20/2019,Gue punya iLang 26 jt pagi ini...smoga Mandiri dpt mengatasi scepatnya,-1
7/20/2019,Di serang hackerðŸ˜œ,0
7/20/2019,"Tadi saya cek saldo saya 0 rupiah, dan ternyata saya baru ingat memang segitu dr bulan lalu ðŸ˜‚",0
7/20/2019,"kemarin saya cek masih ada, trus hari ini saya liat lagi eh ternyata pacar saya juga ilang.ðŸ˜¢ tolong bank mandiri segera diatasi, ini mungkin krna gak ada duit gue nya.ðŸ˜¢",0
7/20/2019,gmna nih...saldo saya berkurang 10jt,-1
7/20/2019,saldo bank mandiri saya gk berkurang alhamdulillah :),1
7/20/2019,Kemarin saya melakukan penarikan di ATM BNI HK Tower. saya lihat saldo saya dan saya bandingkan dengan pagi ini berkurang 5juta. saya telp bank mandiri jaringan sibuk.,-1
7/20/2019,saldo nambah 50jt..bsa dtransfer tp blm cba apkh bsa dtarik,0
7/20/2019,"Smlm dpt kbr dri tmn ktnya saldo di atm trsisa Rp. 0,0 pas cek pny sendiri ilang Rp. 2.7jt waw, Bank Mandiri mhn sgr dpt menyelesaikan mslh ini",0
7/20/2019,6 hari yaang lalupun saldo..saya berkurang..saya pikir sy lupa narik....mohon mandiri segera menindaklanjuti,-1
7/20/2019,"saya anak kos,duit saya di atm semua dan pas saya mau ambil saldo saya 0 rupiah,terus saya mau makan gimana,tolong untuk pihak bank cepat diatasi ðŸ˜¢ðŸ˜¢",-1
7/20/2019,"Sama, saldo mandiri saya jg jadi 0 #BankMandiriError",-1
7/20/2019,pagi pagi kepanikam gegegara ini ckckckc kalau bank bisa gini apalagi payment paymrnt yg bukan bamk ya ?,-1
7/20/2019,duit saya juga ilang 10jt di mandiri.. gimana nih,-1
7/20/2019,"bank mandiri, bagaimana nih kalau sudah seperti ini?kami menunggu klarifikasi dan penyelesaiannya",-1
7/20/2019,"saya baca status teman awalnya, saldo mandirinya hingga 0. pas cek punya sendiri, kok berkurang 4 juta?",-1
7/20/2019,saldo tiba-tiba berkurang padahal tidak ada penarikan... ini gimana tanggapan pihak.bank mandiri nya???,-1
7/29/2019,kita salah transfer saja setengah idup ngurusnya....,-1
7/29/2019,tidak semua nasabah ingat jumlah uangnya,0
7/29/2019,"abis udah, kabur semua, gw sih sisain dikit aja buat top-up kartu e-tol aja.",-1
7/20/2019,kesalahan sistem?????? pernyataan yg sangat meragukan buat sekelas Mandiri?? ini human error????,-1
7/20/2019,"harusnya tidak sekedar permintaan maaf saja, harus ada konpensasi kepada nasabah atas insiden ini, berapa banyak pelaku usaha yg rugi dengan kejadian ini,berapa banyak juga pribadi yg merasa di rugikan, dan ini juga tidak hanya sekali terjadi. kalau hanya sekedar maaf, gampang banget, YLKI tolong di response ðŸ˜¡",-1
7/20/2019,"Bank Besar, systemny seperti jadul ATM sering error..payahh!!!, hari ini susah mo transfr!!!",-1
7/20/2019,cuma maaf doang.. ga ada kompensasi.. tadi pagi mau bayar telp tgl 20..batas akhir.. eeh.. malah uang nya ga ada.. saldo ada ga cukup.. padahal kemarin sore abis ambil uang di atm dan sisa tampil di layar masih bisa untuk bayar telp.. ampun deh mandiri mandiri.. jadi males nih transaksi pake mandiri..,-1
7/20/2019,"Selain berkurang, ini kok debit mandiri dimana2 g bisa digunakan? atm mandiri g bisa, atm bersama juga g bisa.. mana kaga punya cash. hadeh gmn man man..",-1
7/20/2019,"Pasti gara2 milih Jokowi, wk wk wk, udah lewat ya Pilpres? pecat Pak Direksinya, kerjanya gak becus. Ribuan Nasabah yang dipertaruhkan, ayo kita tarik uangnya pindahin ke Bank Lain.",0
7/20/2019,selalu was was punya rekening mandiri. atm.nya aja lelet banget akhir-akhir ini,-1
7/20/2019,ternyata saya juga kena. pas debit beli bread talk di decline. huftt. malu kan,-1
7/20/2019,anjay. duit orang itu. dasar mandiri butut...masa bs error.,-1
7/20/2019,"Sering loh, trouble di bank plat merah ini padahal gaji nya besar besar",-1
7/20/2019,"sy termasuk yg saldo berubah, tapi sejam kemudian Normal kembali...",0
7/20/2019,semenjak 2014 saya merasakan pelayanan perbankan yg satu ini sgt buruk. berbeda beda skali dg taun taun sbelumnya.,-1
7/20/2019,Bank pmrintah ko gini? BCA aja ga prnh kaya gini. Tadi siang Mo bli etoll ga ada satupun indomart alfamart bisa transaksi. Msk toll juga ga bs. bli di pintu toll ga bisa transaksi. mesin edc mandiri ga online. Ahirnya jm 2 lwt bru bs bli d pintu toll antruan panjaaaaang bgt,-1
7/20/2019,"Wadohh...saldo gue masih ada rp. 75.000 ,-..bisa balik gak?",-1
7/20/2019,"Hrsnya ada kompensasi atas kerugian nasabah materiil maupun nonmateriil akibat kelalaian ini .... Jaman sekarang cuma minta maaf? Nasabah telat bayar cicilan aja langsung kena denda & bunga, emang boleh minta maaf aja gitu?",-1
7/20/2019,"Ini klo boleh tau kejadian ini baru aja terjadi (maksudnya baru sekarang2 ini terjadi) atau sebelum2 sudah sering terjadi tetapi baru terdeteksinya sekarang utk masalah error ini, mohon ada penjelasan yg lebih kongkrit terima kasih sebelumnya ðŸ™.",0
7/20/2019,Anjay 10% byk amat. Gileee,-1
7/20/2019,Aq blm cek tp duit ada 25jt pie iki blur duit customer aq iki,-1
7/20/2019,10% yg eror yaa banyak malah fatal sekali prosedure security systemnya ga beres niih mandiri,-1
7/20/2019,Duit gw ada 10 T nih... Amsyongg dahhh,-1
7/20/2019,Bakalan kena rush ini mandiri....,-1
7/20/2019,"Kalau sudah merubah nominal, itu bencana namanya.. ðŸ˜Ž",-1
7/20/2019,"mandiri lagi yg error, bank lain sgt jarang. 10% dari total nasional banyak sekali.",-1
7/20/2019,"Makanya saya dak pernah buat rekening tabungan di mandiri, biaya adm nya dak sesuai dgn servicenya",-1
7/20/2019,"Udah ok ini , duit gue balik lagi",1
7/20/2019,tabungan saya di mandiri cukup banyak.. sampe skarang masih belum bisa diakses (ga tau saldonya berubah apa ga).. khawatir sih jelas iya.. tapi saya masih percaya saya tunggu sampe besok insyaAllah bakal normal lagi g terjadi apa2..,-1
7/20/2019,"Saya setor tunai di salah satu ATM uang tertahan di dalam ATM namun dibilang error, apa ini maksudnya? Dan hari ini adalah hari terakhir untuk bayar2 tagihan. Bagaimana mana ini Mandiri???",-1
7/20/2019,Perusahaan Bumn ga herannnn,0
7/20/2019,fatal banget itu error nya..... kayanya bank2 lain ga pernah kaya gini..... ngeri,-1
7/20/2019,"Wkwkwwk ini yang td di rasain nyokapnya temen ane, pas bgt ane lg mampir eh nyokapnya dapet kabar mandiri lg error. Langsung cek saldo ke atm eh ga bisa, panik dia sampe bilang kalo udah bisa saldo mau di tarik semua wkwkwkwk Mana itu 0 nya banyak bener wkwkwk",-1
7/20/2019,"Pantesan sedari pagi mau top-up kartu &Etool di semua indomart gagal terus, terpaksa beli kartu flass",-1
7/20/2019,Pecat saja direksinya.,-1
7/20/2019,Anjir sekelas mandiri kesalahanya fatal.beginih,-1
7/20/2019,"alhamdulillah sudah bisa lihat saldo, terimakasih bank mandiri, semoga lebih baik lagi",1
7/20/2019,bahaya jg kl sistimnya trus2an sperti ini... yg beruntung kl saldonya Nol jd ratusan juta... yg apes yg sbaliknya dr ratusan juta jd NOL... ðŸ˜ðŸ˜ðŸ˜,-1
7/20/2019,ingak2 itu bukan uang kita jangan diambil,0
7/20/2019,"PERUSAHAAN2 BESAR YG SELALU DIBANTU DAN DISOKONG OLEH PEMERINTAH, NAMUN DGN SERVIS DAN KEAMANAN YG ETHOK2.... ADA LAGI TUH YG BBRP WAKTU LALU RIBUT NGELAPORIN ORG PADAHAL ORG DISURUH BAYAR MAHAL TAPI DAPAT LAYANAN TULISAN TANGAN.. HAHAHAHAHAHAHAHAHA... PARAHHHHHHHHHHHH........, SANGAT-SANGAT PARAHHHH...",-1
7/20/2019,bank keliling,0
7/20/2019,"Lucu ya. Ini fatal loh bro, jangan anggap sepele.",-1
7/20/2019,bca bni bagus kokï¿½,0
7/20/2019,Skrng sudah bisa gan.... tadi jam 2.30 cb saya cek mandiri on line,1
7/20/2019,Menyedihkan!!!! Catat!!!! Ngga semua nasabah tahu saldo rekening nya sebelum ada eror atau kejadian seperti ini. Big problem!!!! Bagaimana cara untuk memastikan bahwa koreksi atau pengembalian atau normalisasi rekening tersebut saldo akhirnya sama dengan saldo sebelum eror??????,-1
7/20/2019,BUMN lg.....waduh....revolusi BUMN nih....bukan revolusi mental...ï¿½ Ayo Pak Presiden...revolusi BUMN....,-1
7/20/2019,"Error di kasir kalau pembayaran debet, pak. Di ATM banyak kalang kabut krn respon mesin sangat lamaa.ï¿½ Paling kacau nih mandiri, bikin susah orang aktivitas, mana weekend pula x((",-1
7/20/2019,"klo alasan IT error, nasabah yg nol nya panjang bakal gk bs tidur nyenyak, enteng banget jawabannya sering2 cek saldo, akan lbh baik pindah bank yg safe IT nya.",-1
7/20/2019,Pindah aja ke bank lain. Beres ðŸ˜,0
7/20/2019,Yg tau pasti org dalem IT nya.... sabot ato konspirasi ato org IT baru hire,-1
7/20/2019,Untung w pake BRI tong,0
7/20/2019,B*I...???? LIHAT LAYANAN BANG INI DI KANTOR BESARNYA DI HYM WRK... BEDA BANGET DGN LAYANAN BANG SW*STA YG DISEBERANGNYA.... HAHAHAHAHAHAHAHAHAHA... PERUSHAN2 YG BESAR KARENA DIBANTU DAN DISOKONG PEM*RINTAH BUKAN KARENA BISA BERSAING...,-1
7/20/2019,Harus pindah bank,0
7/20/2019,"Parah deh ganggu banget, 2 jam dari mana dari pagi sampe jam sekarang masih blm bener",-1
7/20/2019,Saldoku blm balik..ðŸ˜­,-1
7/20/2019,wah..parah nih bank mandiri..ternyata nabung jd gak save...jangan2 ada unsur dan maksud negatif dari org2 IT itu,-1
7/20/2019,"GABUNGAN 4 BANG PARAH YG DILIKUIDASI TAHUN 90'AN... DUIT BOKAP GUE ILANG DI BBD DARI TAHUN 86'AN, SAM0AI MERGER KAGAK JELAS DIMAKAN HANTU...!!!!",-1
7/20/2019,"TAON 97 MERGER KL GAK SALAH. TEMAN AYE KERJA DI BBD JADI STAF BIASA BLM 2 TAON, DI PHK DAPAT PESANGON 50 JT MAWUK LAGI KERJA DI MANDIRI.. ENAK BANGET YA HAMBUR2IN DUIT...??? HAHAHAHAHAHAHA... DUIT ALM BOKAP SAMPAI SKRG GAK BALIK. GAK BANYAK SIH, TAPI HARGA EMAS TAON '88 MASIH DI KISARAN CUMA BERAPA REBU RUPIAH...!!!!",-1
7/20/2019,unicorn gitu loh wkwkwk sebentar lagi karti tol,0
7/20/2019,Orang IT ngambek kayaknya ..makanya di acak acak to programnya...yg tau orang dalam,0
